Name,Office,Address,Telephone,,,,
PYSDENS SOLICITORS,HO,108 Fenchurch StreetEC3M 5JR,00 44 (0) 207 702 4442,info@pysdens.com, 00 44 (0) 20 7702 1779, http//www.pysdens.com,404893
Q&A SOLICITORS,HO,329 Dickenson RoadM13 0NR,01612 248 771,anila@qandasolicitors.co.uk, 01612 490 734, http//www.qandasolicitors.co.uk,487068
QUANTUM SOLICITORS,HO,4  The TriangleWR5 2QX,01905 673311,law@quantumsolicitors.co.uk, 01905 363533, http//www.quantumsolicitors.co.uk,408128
QUASTEL MIDGEN LLP,HO,74 Wimpole StreetW1G 9RR,020 7908 2525,operations@sra.org.uk, 020 7908 2626, http//www.quastels.com,420615
QUEEN STREET TRUSTEES LIMITED,HO,2 Wellington PlaceLS1 4BZ,,operations@sra.org.uk,,,344318
QUEENS SOLICITORS LIMITED,HO,8 Uppingham RoadLE5 0QD,0116 2747927,law@queens-solicitors.co.uk, 0116 2747929, http//www.queens-solicitors.co.uk,441163
QUERCUS LAW,HO,107-111 Fleet StreetEC4A 2AB,020 7936 9816,robert_oakes@btinternet.com, 020 7936 9133,,445508
QUINN & CO,HO,The VicarageEX6 7AA,01647 253314,mail@quinnlaw.co.uk, 01647 253314,,426532
QUINN EMANUEL URQUHART OLIVER & HEDGES LLP,HO,16 Old BaileyEC4M 7EG,0207 653 2000,richardeast@quinnemanuel.com, 0207 653 2100, http//www.quinnemanuel.com,488675
QUINN MELVILLE (INCORPORATING MALCOLM J GREGG & CO),HO,15 Stanley StreetL1 6AA,0151 236 3340,enquiries@quinn-melville.co.uk, 0151 255 0466, http//www.quinn-melville.co.uk,184763
QUINN MELVILLE BARROW LLP,HO,15 Stanley StreetL1 6AA,0151 231 6620,enquiries@quinn-barrow.co.uk, 0151 231 6621, http//www.quinn-barrow.co.uk,424938
QUIST SOLICITORS,HO,King House 3rd FLOORW2 4UA,0207 792 0660,mail@quistlaw.com, 0207 792 0610, http//www.quistlaw.com,174488
R & B LEGAL LIMITED,BRN,69-71 Church StreetLA1 1ET,01524 39039,operations@sra.org.uk, 01524 36048,,408113
R A ROSEN & CO,HO,Collette HouseW1J 0DX,020 7629 6566,arnold@arnoldrosen.co.uk, 020 7629 1950,,405046
R A WILKINSON & CO,HO,5 Mortimer StreetCH41 5EU,0151 647 6259,operations@sra.org.uk, 0151 647 2190,,60418
R B HAMMOND LIMITED,HO,c/o Rothera DowsonNG1 1PZ,0115 9100 600,operations@sra.org.uk, 0115 9106 220, http//www.rotheradowson.co.uk,497586
R C MINIFIE LIMITED,HO,20 Church GateLE11 1UD,01509 232611,richard.minifie@birdwilfordsale.co.uk, 01509 239081, http//www.birdwilfordsale.co.uk,487809
R E REDRUP & COMPANY,HO,41 Field End RoadHA5 2QQ,020 8866 4097,roy@rredrup.freeserve.co.uk, 020 8868 5080,,70877
R F B ASSOCIATE LIMITED,HO,Amberley HouseMK17 0LU,07711 565 724,rfb@rfbassociate.co.uk,, http//www.rfbassociate.co.uk,519501
R G ELLIOTT LIMITED,HO,Great North HouseNE1 8ND,0191 233 9700,info@crutes.co.uk, 0191 233 9704, http//www.crutes.co.uk,495375
R G FRISBY & SMALL,HO,5 De Montfort StreetLE1 7GT,0116 233 5522,operations@sra.org.uk, 0116 233 5810, http//www.frisbysmall.co.uk,48701
R G FRISBY & SMALL,BRN,72B Main StreetLE9 6RD,01455 282832,operations@sra.org.uk, 01455 282 832, http//www.frisbysmall.co.uk,48703
R J GILL & CO,HO,1 Potter PlaceWN8 9PH,01695 713 310,robertgill@rjgill.co.uk, 01695 727 666,,406725
R L WILFORD LIMITED,HO,20 Church GateLE11 1UD,01509 232611,lindsay.wilford@birdwilfordsale.co.uk, 01509 239081, http//www.birdwilfordsale.co.uk,487811
R M FALVEY & CO,HO,26 Ives StreetSW3 2ND,020 7100 3414,law@falvey.eu, 020 7100 3415,,62094
R MCVEIGHTY,HO,62 Clarence RoadB13 9UH,0121 443 1262,r.mcveighty@virgin.net, 0121 443 1484,,271803
R N WILLIAMS & CO,HO,53 Waterloo RoadWV1 4QQ,1902429051,enquiries@rnwilliams.com,1902313435, http//www.rnwilliams.com,59637
R R SANGHVI & CO,HO,Sherwood HouseHA2 0NP,020 8515 0490,operations@sra.org.uk, 020 8422 4268,,63173
R W ANDERSON & CO(INCORPORATING M C GREENLEAF & CO),HO,18 Great Portland StreetW1W 8QR,020 7323 4520,operations@sra.org.uk, 020 7323 4521,,68781
RADCLIFFESLEBRASSEUR,HO,5 Great College StreetSW1P 3SJ,020 7222 7040,info@rlb-law.com, 020 7222 6208, http//www.rlb-law.com,184739
RADCLIFFESLEBRASSEUR,BRN,5-6 Park PlaceLS1 2RU,0113 234 1220,operations@sra.org.uk, 0113 234 1573, http//www.rlb-law.com,352499
RAFINA SOLICITORS,HO,795 Harrow RoadHA0 2LP,020 8908 6742,rafina@rafina.uk.com, 0208 904 6353, http//www.rafinauk.com,76257
RAI SOLICITORS,HO,72 Stoke RoadSL2 5AP,01753 576800,railegal@gmail.com, 01753 576801, http//www.raisolicitors.co.uk,379908
RAIN GASKELL SOLICITORS,HO,78a Dickenson RoadM14 5HF,0161 257 2933,operations@sra.org.uk, 0161 248 6186, http//www.raingaskell.com,472304
RALLI,HO,16-17 Ralli CourtsM3 5FT,0161 832 6131,ralli@ralli.co.uk, 0161 6150741, http//www.ralli.co.uk,47058
RALPH & CO,HO,18-20 Cliff RoadTR7 1SG,01637 872218,enquiries@ralphlaw.co.uk, 01637 875523, http//www.ralphlaw.co.uk,44127
RALPH & CO,BRN,52 Molesworth StreetPL27 7DR,01208 812277,enquiries@ralphlaw-wadebridge.co.uk, 01208 814829, http//www.ralphlaw.co.uk,44129
RALPH DAVIS,HO,1-2 Faulkner's AlleyEC1M 6DD,020 7253 7200,ralph.davis@ralphdavis.co.uk, 020 7253 7279,,79859
RALPH HARING SOLICITORS,HO,1 StonecrossAL1 4AA,01727 858002,ralph@ralaw.co.uk, 01727 843576, http//www.ralaw.co.uk,439901
RAMSDENS SOLICITORS LLP,HO,Oakley HouseHD3 3AL,01484 558066,paul.joyce@ramsdens.co.uk, 01484 558083, http//www.ramsdens.co.uk,440420
RAMSDENS SOLICITORS LLP,BRN,Ramsden StreetHD1 2TH,01484 821500,operations@sra.org.uk, 01484 510446, http//www.ramsdens.co.uk,440432
RAMSDENS SOLICITORS LLP,BRN,102 Huddersfield RoadHD9 3AX,01484 682171,operations@sra.org.uk, 01484 683376, http//www.ramsdens.co.uk,440439
RAMSDENS SOLICITORS LLP,BRN,94-96 SouthgateHX5 0ET,01422 372478,operations@sra.org.uk, 01422 310032, http//www.ramsdens.co.uk,440441
RAMSDENS SOLICITORS LLP,BRN,18 Lewisham RoadHD7 5AL,01484 844116,operations@sra.org.uk, 01484 848984,,440445
RAMSDENS SOLICITORS LLP,BRN,6-8 Harrison RoadHX1 2AQ,01422 330700,operations@sra.org.uk, 01422 330184, http//www.ramsdens.co.uk,450400
RATCLIFFE DUCE & GAMMER,HO,49-51 London StreetRG1 4PS,01189 574291,reading-enquiries@rdg-law.co.uk, 01189 393143, http//www.rdg-law.co.uk,44098
RATCLIFFE DUCE & GAMMER,BRN,86 Rose StreetRG40 1XU,01189 783681,wokingham-enquiries@rdg-law.co.uk, 01189 774260, http//www.rdg-law.co.uk,44099
RATCLIFFE DUCE & GAMMER,BRN,Eastgate HouseOX10 0BJ,01491 834400,wallingford-enquiries@rdg-law.co.uk, 01491 833740, http//www.rdg-law.co.uk,44100
RATCLIFFE SOLICITORS,HO,The Old RectoryCV23 0HS,01788 833151,adr@adrlaw.co.uk, 08456 280 666,,300334
RATIP SOLICITORS,HO,13 Belltrees GroveSW16 2HZ,0208 677 0625,operations@sra.org.uk, 0208 677 0625,,401511
RAWLINGS & CO,HO,4 High StreetHP11 2AZ,01494 465777,chris.rawlings@rawlingslaw.co.uk, 01494 461138,,75128
RAWLINGS GILES,HO,Lanterns LodgeSW11 3AD,020 7223 2765,information@rawlingsgiles.eu.com,2073500156, http//www.rawlingsgiles.eu.com,341256
RAWLINS DAVY,HO,Rowland HouseBH1 2EG,01202 558844,enquiries@rawlinsdavy.com, 01202 557175, http//www.rawlinsdavy.com,44090
RAWLINS DAVY PLC,HO,Rowland HouseBH1 2EG,01202 558844,enquiries@rawlinsdavy.com, 01202 557175, http//www.rawlinsdavy.com,486864
RAWLISON BUTLER LLP,HO,Griffin HouseRH10 1DQ,01293 527744,info@rawlisonbutler.com, 01293 520202, http//www.rawlisonbutler.com,439560
RAWLISON BUTLER LLP,BRN,Ridgeland HouseRH12 1DY,01403 252492,info@rawlisonbutler.com, 01403 241545, http//www.rawlisonbutler.com,439561
RAWLISON BUTLER LLP,BRN,Second FloorW1J 6BD,0207 887 4548,info@rawlisonbutler.com, 0207 887 6001, http//www.rawlisonbutler.com,518567
RAWORTHS LLP,HO,Eton HouseHG1 1HF,01423 566666,operations@sra.org.uk, 01423 504572, http//www.raworths.co.uk,439478
RAY NIXON BROWN,HO,4-6 Church SquareLU7 1AE,01525 372247,info@raynixonbrown.co.uk, 01525 382548, http//www.raynixonbrown.co.uk,76188
RAYMOND CLARKE & CO,HO,Building 208  Epsom SquareTW6 2BJ,020 3250 0000,rclarke.lhrport@ukonline.co.uk, 020 8759 0931, http//www.raymondclarke.co.uk,346728
RAYMOND SAUL & CO,HO,32 Alie StreetE1 8DA,020 7480 5840,info@rslaw.co.uk, 020 7480 7865, http//www.rslaw.co.uk,54851
RBM DAVIES & PARTNERS LLP,HO,13 The CrossCH64 9UB,0151 336 6611,office@rbmdavies.com, 0151 336 7123, http//www.rbmdavies.com,402615
RBM SOLICITORS,HO,4 Station SquareCV1 2GT,02476 520999,info@rbmsolicitors.co.uk, 08453 028332, http//www.rbmsolicitors.co.uk,468279
READ DUNN CONNELL,HO,Manor Row chamberBD1 4PS,01274 723858,info@readdunnconnell.co.uk, 01274 728493, http//www.readdunnconnell.co.uk,291367
READ DUNN CONNELL,BRN,9 New Brook StreetLS29 8DQ,01943 601173,info@readdunnconnell.co.uk, 01943 604270, http//www.readdunnconnell.co.uk,513130
READ ROPER & READ,HO,10th FloorM3 2WJ,0161 832 6905,law@read-roper.co.uk, 0161 832 7795,,44062
REBIAN SOLICITORS,HO,City West 3LS12 6LX,0113 251 2251,r.townsend@rebian.co.uk, 0113 251 2001, http//www.rebian.co.uk,497072
RECOMPENSE LTD,HO,Waterleat HouseTQ9 5XL,01803 847400,claims@recompense.co.uk, 01803 847478, http//www.recompense.co.uk,401259
RECOVERY ASSIST LLP,HO,41-43 Walmersley RoadBL9 5AE,0161 762 4949,info@recoveryassist.co.uk, 0161 762 3480, http//www.recoveryassist.co.uk,510847
REDD SOLICITORS LLP,HO,29 Cloth FairEC1A 7JQ,0207 776 4760,info@redd.eu, 0207 600 9868, http//www.see-redd.com,406170
REDFERN  STIGANT,HO,9 Railway StreetME4 4DG,01634 409415,redfern@redfern-stigant.com, 01634 815081, http//www.redfern-stigant.com,44049
REDFERNS,HO,9 Churchill CourtHA2 7SA,020 8424 7070,operations@sra.org.uk, 020 8424 7050,,44047
REDFERNS,HO,34a St. Thomas StreetDT4 8EJ,01305 781401,mail@redferns-solicitors.com, 01305 788175, http//www.redferns-solicitors.com,62111
REDFERNS,BRN,15 Easton StreetDT5 1BS,01305 823636,mail@redferns-solicitors.com, 01305 823737, http//www.redferns-solicitors.com,176057
REDMANS LIMITED,HO,8 The GreenTW9 1PL,020 8334 0360,mail@redmans.co.uk, 020 8334 0369,,468098
REED SMITH LLP,HO,The Broadgate TowerEC2A 2RS,020 3116 3000,reedsmith@reedsmith.com, 020 3116 3999, http//www.reedsmith.com,389662
REES JONES  SOLICITORS,HO,6-10 Bagnall StreetST1 3AQ,01782 202444,operations@sra.org.uk, 01782 263751, http//www.reesjonessolicitors.co.uk,57993
REES PAGE,HO,8-12 Waterloo RoadWV1 4BL,01902 577777,info@reespage.co.uk, 01902 577735, http//www.reespage.co.uk,71403
REES PAGE,BRN,17 Wellington RoadWV14 6AD,01902 577776,info@reespage.co.uk, 01902 577769, http//www.reespage.co.uk,71406
REES PAGE,BRN,51-53 Queen StreetWV1 3BJ,,operations@sra.org.uk,,,351500
REES-ROBERTS LIMITED,HO,Fourth FloorL2 0QT,0151 255 1300,info@rees-roberts.com, 0151 236 3083, http//www.rees-roberts.com,461952
REGENTS LAW,HO,First FloorE1 1JE,0207 247 4884,regentslaw@btconnect.com, 0207 377 9915,,488278
REGENTS SOLICITORS,HO,18 Whittles CroftM1 2DE,0161 265 6975,enquiries@regents-lawyers.co.uk, 0161 273 3075, http//www.regents-lawyers.co.uk,496902
REHAB4LIFE LIMITED,HO,RoseacrePR3 6AL,01253 799800,andrew.lindsay@rehab4life.co.uk, 01253 799804,,512358
REHAB4LIFE LIMITED,BRN,24 Whaggs LaneNE16 4PF,0191 488 6979,petermaughan@petermaughanassociates.co.uk, 0191 488 6218,,524118
REHMANS SOLICITORS,HO,71 Gwyn StreetMK40 1HH,01234 350244,info@rehmans.co.uk, 01234 350246, http//www.rehmans.co.uk,463092
REISS SOLICITORS,HO,102-104 Lumb LaneBD8 7RS,01274 395858,info@reiss-solicitors.co.uk, 01274 395878, http//www.reiss-solicitors.co.uk,388607
RENATA & CO SOLICITORS,HO,172 School RoadB28 8PA,0121 777 7333,info@renatasolicitors.com, 0121 777 5050,,287937
RESOLVE LEGAL,HO,Kings ChambersB23 7AJ,0121 683 6945,info@resolvelegal.co.uk, 0121 683 8305, http//www.resolvelegal.co.uk,514001
RESTONS SOLICITORS LIMITED,HO,Trinity ChambersWA1 1GG,1925661600,npc@restons.co.uk,1925417517, http//www.restons.co.uk,425555
REYNOLDS COLMAN BRADLEY LLP,HO,70 St. Mary AxeEC3A 8BE,020 3102 4320,operations@sra.org.uk, 020 3102 4321, http//www.rcbllp.com,387428
REYNOLDS JOHNS PARTNERSHIP,HO,Apex HouseCM23 2DW,01279 508626,law@reynoldsjohns.co.uk, 01279 503834, http//www.reynoldsjohns.co.uk,302884
REYNOLDS MACDONALD,HO,2nd FloorEC1V 7ET,020 7490 3336,operations@sra.org.uk, 020 7490 3337, http//www.rmsolicitors.com,469380
REYNOLDS PARRY JONES,HO,10 Easton StreetHP11 1NP,01494 525941,partners@rpj.uk.com, 01494 530701, http//www.rpj.uk.com,58040
REYNOLDS PORTER CHAMBERLAIN LLP,HO,Tower Bridge HouseE1W 1AA,020 3060 6000,rpc@rpc.co.uk, 020 3060 7000, http//www.rpc.co.uk,440566
RG LAW,HO,34 Brunswick Park GardensN11 1EJ,0208 368 5155,rg@rglaw.org.uk,,,496828
RHF SOLICITORS,HO,25 Cross StreetM2 1WL,0161 839 9009,operations@sra.org.uk, 0161 839 6009, http//www.rhfsolicitors.co.uk,324115
RHW SOLICITORS LLP,HO,Ranger HouseGU1 4UL,01483 302 000,post@rhw.co.uk, 01483 301 242, http//www.rhw.co.uk,518015
RHY LAW LLP,HO,Lantern HouseEN6 5AJ,01707 621100,accounts@rhylaw.com, 01707 665337, http//www.rhylaw.com,448473
RICE-JONES & SMITHS,HO,7 Ely PlaceEC1N 6RY,0207 831 2506,law@londonrjs.com, 020 7831 6465,,74320
RICH & BAILY,HO,157 Tottenham LaneN8 9BT,020 8340 2481,operations@sra.org.uk, 020 8348 3272,,78048
RICH & CARR,BRN,49c The ParadeLE2 5BB,0116 271 0567,enquiries@richandcarr.co.uk, 0116 271 9590, http//www.richandcarr.co.uk,43983
RICH & CARR,BRN,1172 Melton RoadLE7 2HB,0116 260 5764,enquiries@richandcarr.co.uk, 0116 264 0655, http//www.richandcarr.co.uk,43984
RICH & CARR,BRN,7 Lutterworth RoadLE8 4DW,0116 247 7777,enquiries@richandcarr.co.uk, 0116 247 7439, http//www.richandcarr.co.uk,43985
RICH & CARR,BRN,Manor HouseLE17 4EH,01455 557403,enquiries@richandcarr.co.uk, 01455 550153, http//www.richandcarr.co.uk,402338
RICH & CARR FREER BOUSKELL,HO,P O Box 15  Assurance HouseLE1 9GX,0116 253 8021,enquiries@richandcarr.co.uk, 0116 253 7427, http//www.richandcarr.co.uk,43982
RICHARD BRAY & CO,HO,8 Exchange CourtWC2 0JH,020 7497 3561,richardbraymail@tiscali.co.uk, 020 7497 5383,,67041
RICHARD BUTLER,HO,39 Battlefield RoadAL1 4DB,01727 763 415,law@richardbutler.com, 01727 764 437, http//www.richardbutler.com,401381
RICHARD FREEMAN & CO,HO,13 Radnor WalkSW3 4BP,020 7351 5151,tcope@richardfreemanco.com, 020 7351 1697,,68446
RICHARD J KNAGGS & CO LLP,HO,119 High StreetTS10 3DG,01642 487 011,enquiries@richardjknagg.co.uk, 01642 487 714,,512234
RICHARD NELSON SOLICITORS,BRN,8 The CourtyardB91 3DA,0121 707 7666,law@richardnelsonsolicitors.co.uk, 0121 707 7999, http//www.richardnelsonsolicitors.co.uk,422989
RICHARD PEARLMAN LLP,HO,27 Phipp StreetEC2A 4NP,020 7739 6100,rkp@rpandco.com, 020 7739 6300, http//www.rpandco.com,468959
RICHARD PEARLMAN LLP,BRN,The Roma BuildingEC2A 4RQ,020 7490 7224,operations@sra.org.uk, 020 7490 7225, http//www.rpandco.com,468960
RICHARD SLADE AND COMPANY,HO,Ground Floor EastWC1R 5JA,020 7160 0900,richard.slade@richard-slade.com, 0207 806 8267, http//www.richardslade.com,495707
RICHARD T BATE & CO,HO,20 Market PlaceGL8 8DD,01666 503722,richardbate@richardbate.com, 01666 503672,,63333
RICHARD THORN & CO,HO,6 Marlborough PlaceBN1 1UB,01273 625 600,enquiries@richardthorn.net, 01273 625 650,,63549
RICHARD TINN SOLICITORS,HO,126 London RoadPE21 7HB,01205 367 123,r.tinn@richardtinnsolicitors.co.uk, 01205 351 820,,283763
RICHARD WEST FREEMAN CHRISTOFI LLP,HO,236 Hoe StreetE17 3AY,020 8521 6235,christine@rwfc.co.uk, 020 8509 3109, http//www.rwfc.co.uk,382071
RICHARD WEST FREEMAN CHRISTOFI LLP,BRN,111 Charterhouse StreetEC1M 6AW,0208 521 6235,chris@rwfc.co.uk, 0207 608 2793, http// www.rwfc.co.uk,466054
RICHARD WILSON SOLICITORS LTD,HO,Cymbal HouseRG8 9AU,01491 879100,goring@richard-wilson.co.uk,, http//www.richard-wilson.co.uk,419814
RICHARDS AND MORGAN SOLICITORS LLP,HO,67 Southbourne GroveBH6 3RN,01202 424234,mail@richards-morgan.co.uk, 01202 428884, http//www.richards-morgan.co.uk,489179
RICHARDS SOLICITORS,HO,5th FloorHA8 7BJ,020 8731 5929,post@richards-solicitors.co.uk, 020 8381 1759, http//www.richards-solicitors.co.uk,321701
RICHARDSON & CO,HO,Phoenix HouseLS1 5QX,0113 243 1714,mail@richardsonlaw.co.uk, 0113 243 0984, http//www.richardsonlaw.co.uk,472094
RICHARDSON & DAVIES,HO,3 Park RoadCV1 2LE,024 7622 2001,enquiries@richardsonanddavies.co.uk, 024 7622 6246, http//www.richardsonanddavies.co.uk,58090
RICHMOND AND BARNES SOLICITORS,HO,St. Martins HouseEC1A 4EN,020 7195 2266,info@richmondandbarnes.com,, http//www.richmondandbarnes.com,490571
RICHMONDS,HO,53 Westgate RoadNE1 1TS,0191 232 2155,richmonds.solicitors@dial.pipex.com, 0191 232 6156,,43957
RICKERBYS (CHELTENHAM) LIMITED,HO,Ellenborough HouseGL50 1YD,01242 224422,operations@sra.org.uk, 01242 518428, http//www.rickerbys.com,422699
RICKERBYS LLP,HO,Ellenborough HouseGL50 1YD,01242 224422,operations@sra.org.uk, 01242 518428, http//www.rickerbys.com,484919
RICKERBYS NOMINEES LIMITED,HO,Ellenborough HouseGL50 1YD,01242 224422,info@rickerbys.com, 01242 518428, http//www.rickerbys.com,76709
RIGBY GOLDING LLP,HO,57 Staines Road WestTW16 7AU,01932 765741,mail@rigbygolding.co.uk, 0192 765720, http//www.rigbygolding.co.uk,483065
RIKER DANZIG LONDON LLP,HO,33 CornhillEC3V 3ND,020 7877 3271,eiacovides@riker.com, 020 7877 3271, http//www.rikerdanziglondon.co.uk,444129
RILEY LANGDON SOLICITORS,HO,Suite4 City West Business ParkDH7 8ER,0191 378 7620,mail@rileylangdon.co.uk, 0191 3787621, http//www.rileylangdon.co.uk,69394
RIPPON PATEL & FRENCH LLP,HO,37 Harley StreetW1G 8QG,020 7323 0404,rpfsols@aol.com, 020 7580 2705, http//www.rpfsolicitors.com,450754
RIX & KAY SOLICITORS LLP,HO,The CourtyardTN22 1SL,01825 761555,operations@sra.org.uk, 01825 766700, http//www.rixandkay.co.uk,471132
RIX & KAY SOLICITORS LLP,BRN,84 High StreetTN21 8JG,01435 865211,operations@sra.org.uk, 01435 866822, http//www.rixandkay.co.uk,471134
RIX & KAY SOLICITORS LLP,BRN,Paignton HouseBN25 1RS,01323 897766,operations@sra.org.uk, 01323 490278, http//www.rixandkay.co.uk,471135
RJR SOLICITORS,HO,18 Melville StreetPO33 2AP,01983 562201,ryde@rjr.co.uk, 01983 616602, http//www.rjr.co.uk,54415
RJR SOLICITORS,BRN,20 Quay StreetPO30 5BA,01983 526924,newport@rjr.co.uk, 01983 821249, http//www.rjr.co.uk,54419
RJR SOLICITORS,BRN,Clayton HousePO40 9EN,01983 752115,freshwater@rjr.co.uk, 01983 755494, http//www.rjr.co.uk,54421
RM LEGAL SOLICITORS,HO,1 st Floor 17 Carlton PlaceSO15 2DY,023 8092 6060,info@rm-legal.co.uk, 023 8092 6061, http//www.rm-legal.co.uk,441401
RMNJ SOLICITORS,HO,63 Hamilton SquareCH41 5JF,0151 647 0000,partners@rmnj.co.uk, 0151 647 0002, http//www.rmnj.co.uk,63070
RMPI LLP,HO,Moss HouseW1K 4DS,020 7318 4444,lawyers@rmpi.co.uk, 020 7318 4445, http//www.rmpi.co.uk,405471
ROACH PITTIS,HO,60-66 Lugley StreetPO30 5EU,01983 524431,operations@sra.org.uk, 01983 525971, http//www.roachpittis.co.uk,54316
ROBERT CALLEN,HO,Elthorne GateHA5 5QA,020 8966 9777,robertcallen@btinternet.com, 020 8866 8962, http//www.robertcallen.co.uk,422419
ROBERT CAMPBELL AND COMPANY,HO,GreenhillsEX33 2LX,0870 2412139,rob@carelaw.co.uk, 0870 240 1136, http//www.carelaw.co.uk,327671
ROBERT E SEVERN LTD,HO,18 Rectory PlaceLE11 1UU,0150 968 931,operations@sra.org.uk, 01509 610 217,,498200
ROBERT E SEVERN LTD,BRN,Suite 3LE10 0JT,01455 635 467,operations@sra.org.uk, 01455 617 272,,498202
ROBERT SIMMONS LEGAL SERVICES LIMITED,HO,Suite 7SO50 4ZR,02380 611400,david.simmons@robert-simmons.co.uk, 02380 611800, http//www.robert-simmons.co.uk,497574
ROBERT WHITE,HO,47 Hebdon RoadSW17 7NP,020 8672 9199,operations@sra.org.uk,,,265438
ROBERTS & PARTNERS SOLICITORS LLP,HO,Centurion HouseM2 3WR,0161 932 1700,ian.roberts@millbankedge.co.uk, 0161 932 1701,,507979
ROBERTS JACKSON LIMITED,HO,Black Box BuildingSK9 5ER,01625 522215,oliver.jackson@robertsjackson.co.uk, 01625 546629, http//www.robertsjackson.co.uk,512695
ROBERTS MCCRACKEN,HO,69 Hanover RoadNW10 3DL,020 8931 8190,operations@sra.org.uk, 020 8933 5477,,74296
ROBIN BURMAN & CO,HO,446 Barlow Moor RoadM21 0BQ,0161 860 7123,operations@sra.org.uk, 0161 862 9548,,62507
ROBIN SIMON LLP,HO,2 St. Davids CourtLS11 5QA,0870 839 0800,operations@sra.org.uk, 0870 839 0900, http//www.robinsimonllp.com,383086
ROBIN SIMON LLP,BRN,Minster HouseEC3R 7AE,0870 839 0800,operations@sra.org.uk, 0870 839 0900, http//www.robinsimonllp.com,383089
ROBIN SIMON LLP,BRN,1st FloorM1 3FH,0870 839 0800,operations@sra.org.uk, 0870 879 0900, http//www.robinsonllp.com,383090
ROBIN SIMON LLP,BRN,37a Waterloo StreetB2 5TJ,0870 839 0950,operations@sra.org.uk, 0870 839 0957, http//www.robinsimonllp.com,404162
ROBINSON & CO,HO,Diamond HouseEC1N 8EB,020 7405 5180,rmortlock@robinsonlegal.co.uk, 020 7405 5190,,67652
ROBINSON RAVANI & CO,HO,269 Green StreetE7 8LJ, 0208 548 9402,admin@robinsonravani.com, 0208 586 2137,,400892
ROBINSON'S SOLICITORS,HO,Beckett HouseFY6 8JX,01253 88 25 22,matthewr@rsolicitors.co.uk, 01253 882599, http//www.rsolicitors.co.uk,516216
ROBINSONS,HO,10-11 St. James CourtDE1 1BT,01332 254168,info@robinsons-solicitors.co.uk, 01373 454030, http//www.robinsons-solicitors.co.uk,54424
ROBINSONS SOLICITORS,HO,River HouseCT1 2NZ,01227 762888,INFO@ROBINSONSSOLICITORS.COM, 01227 760343, http//www.robinsonssolicitors.com,380403
ROBSON PALMER SOLICITORS,HO,Tindle HouseNE33 2QU,0191 455 4561,legal@robsonpalmer.co.uk, 0191 455 2954,,371073
ROCHFORD & CO,HO,FerrysideSO31 4JB,023 8045 8268,operations@sra.org.uk, 023 8045 8268,,280862
ROCHMAN LANDAU LLP,HO,Accurist HouseW1U 7AL,0207 544 2424,mail@rochmanlandau.co.uk, 0207 544 2400, http//www.rochmanlandau.co.uk,496280
ROCHMAN LANDAU SECRETARIAL LIMITED,HO,Accurist HouseW1U 7AL,020 7544 2424,mail@rochmanlandau.co.uk, 020 7544 2400, http//www.rochmanlandau.co.uk,78553
RODGERS & BURTON,HO,15-17 Church RoadSW13 9HG,020 8939 6300,djm@randb.law.co.uk, 020 8939 6325,,61832
RODMAN PEARCE SOLICITORS LIMITED,HO,54 Wellington StreetLU1 2QH,01582 424 234,reception@rodmanpearce.com, 01582 424 235, http//www.rodmanpearce.com,493538
RODNEY D SMITH,HO,169 Malden RoadNW5 4HT,020 7267 4240,operations@sra.org.uk, 020 7267 5113,,79448
RODNEY W NOON & CO,HO,Raglan HouseHG1 1LE,01423 564555,rwn@rodneynoon.co.uk, 01423 564755, http//www.rodneynoon.co.uk,74924
RODNEY WARREN & CO,HO,26 Gildredge RoadBN21 4RW,01323 430 430,rw@rodneywarren.co.uk, 01323 412 141, http//www.rodneywarren.co.uk,77800
ROGER BROOKER & COMPANY,HO,70-72 New London RoadCM2 0PE,01245 351924,rlbrooker@rogerbrooker.co.uk, 01245 492428, http//www.rogerbrooker.co.uk,44248
ROGER GREEN & CO,HO,100 High StreetCM12 9BY,01277 659441,law@rogergreenco.co.uk, 01277 630596,,50153
ROGER PICKLES & CO,HO,15 Richmond TerraceBB1 7BQ,01254 51000,crime@rogerpickles.org.uk, 01254 59999,,260677
ROGERS & CO SOLICITORS,HO,Basinghall BuildingsLS1 5HR,0113 2469984,enquiries@lawrogers.com, 0113 2451587, http//www.lawrogers.com,495283
ROGERS & NORTON,HO,The Old ChapelNR2 1EU,01603 666001,admin@rogers-norton.co.uk, 01603 629663, http//www.rogers-norton.co.uk,54467
ROGERS & NORTON,BRN,2 Lansdowne RoadNR6 6NF,01603 268910,operations@sra.org.uk, 01603 268929,,342644
ROITER ZUCKER,HO,Central CourtWC2A 1AL,020 3178 8900,mail@roiterzucker.co.uk, 020 3178 3298, http//www.roiterzucker.co.uk,54470
ROLAND ROBINSONS & FENTONS,HO,85-89 Adelaide StreetFY1 4LX,01253 621432,csmc@rrfsolicitors.com, 01253 751161, http//www.rrfsolicitors.co.uk,54435
ROLAND ROBINSONS & FENTONS,BRN,4 Church RoadFY8 5LH,01253 734253,operations@sra.org.uk, 01253 796258,,496372
ROLAND TAYLOR & CO,HO,74a High StreetCM7 1JP,01376 330 099,Roland.D.Taylor@btconnect.com, 01376 551 164, http//www.rolandtaylorsolicitors.co.uk,308100
ROLAND TAYLOR & CO,BRN,46a Church LaneE11 1HE,,operations@sra.org.uk,,,308126
